日期,假消息、假訊息,假新聞,網路謠言,內容農場,查證、訊息查證,查證平台,事實查核,數位思辨,媒體識讀,網路言論自由,網軍,闢謠專區
2011/1/1,0,6,0,0,10,0,0,0,8,0,21,15
2011/2/1,0,0,0,0,18,0,0,0,12,0,29,0
2011/3/1,10,12,7,0,12,0,0,0,8,0,29,0
2011/4/1,0,14,0,0,12,0,0,0,10,0,32,0
2011/5/1,0,10,11,0,11,0,0,0,0,0,31,0
2011/6/1,0,11,11,0,5,0,0,0,10,0,32,0
2011/7/1,0,9,9,4,10,0,0,0,0,0,30,7
2011/8/1,0,13,7,0,10,0,0,0,0,0,13,0
2011/9/1,0,9,16,0,14,0,0,0,0,0,20,0
2011/10/1,4,0,0,0,16,0,0,0,11,0,24,0
2011/11/1,0,8,4,9,8,0,0,0,0,0,26,0
2011/12/1,0,6,6,0,14,0,0,0,13,0,23,5
2012/1/1,4,7,4,0,0,0,0,0,9,0,17,0
2012/2/1,0,6,12,5,10,0,0,0,10,0,27,0
2012/3/1,0,6,0,0,4,0,0,0,5,0,18,0
2012/4/1,0,10,13,0,9,0,0,0,4,0,19,9
2012/5/1,4,0,0,0,5,0,0,0,0,0,17,3
2012/6/1,0,16,0,8,8,0,0,0,5,0,15,4
2012/7/1,0,15,11,0,5,0,0,0,0,0,16,3
2012/8/1,0,16,6,0,12,0,0,0,8,0,19,0
2012/9/1,0,5,7,0,3,0,0,0,11,0,31,0
2012/10/1,0,4,5,0,14,0,0,0,4,0,26,0
2012/11/1,0,12,5,0,9,0,0,0,7,0,32,0
2012/12/1,0,11,7,3,11,0,0,0,6,0,25,0
2013/1/1,0,7,8,3,12,0,0,0,3,0,24,0
2013/2/1,9,10,4,0,6,0,0,0,3,0,24,0
2013/3/1,0,4,6,0,10,0,0,0,6,0,29,3
2013/4/1,0,13,8,4,10,0,0,0,2,0,15,0
2013/5/1,3,7,8,0,9,0,0,0,0,0,33,5
2013/6/1,6,0,12,3,6,0,0,0,4,0,20,3
2013/7/1,0,14,4,0,6,0,0,0,4,0,32,0
2013/8/1,0,11,7,3,5,0,0,0,2,0,25,0
2013/9/1,0,12,0,3,8,0,0,0,0,0,22,0
2013/10/1,0,11,9,0,13,0,0,0,2,0,15,0
2013/11/1,0,11,4,2,13,0,0,0,4,0,12,4
2013/12/1,0,17,6,3,6,0,0,0,3,0,27,0
2014/1/1,3,6,12,2,7,0,0,0,3,0,10,0
2014/2/1,2,6,9,0,7,0,0,0,4,0,14,0
2014/3/1,4,19,4,0,7,0,0,0,6,0,21,3
2014/4/1,0,34,8,0,10,0,0,0,6,0,18,0
2014/5/1,0,11,11,0,14,0,0,0,2,0,31,0
2014/6/1,0,14,8,0,8,0,0,0,4,0,30,0
2014/7/1,0,15,7,2,8,0,0,0,0,0,21,0
2014/8/1,0,7,6,3,10,0,0,0,0,0,27,0
2014/9/1,0,12,7,0,5,0,0,0,4,0,27,0
2014/10/1,2,12,14,2,7,0,0,0,5,0,24,0
2014/11/1,2,10,11,2,10,0,0,0,2,0,39,1
2014/12/1,2,9,8,0,11,0,0,0,9,0,30,0
2015/1/1,0,9,0,0,11,0,0,0,5,0,41,0
2015/2/1,2,8,6,4,8,0,0,0,6,0,30,0
2015/3/1,2,15,9,7,13,0,0,0,2,0,32,0
2015/4/1,1,15,10,6,19,0,0,0,3,0,35,3
2015/5/1,0,12,13,7,9,0,0,0,3,0,39,0
2015/6/1,3,13,19,6,6,0,0,0,2,0,26,0
2015/7/1,4,16,12,9,10,0,0,0,4,0,34,0
2015/8/1,0,16,8,4,6,0,0,0,7,0,27,0
2015/9/1,1,23,8,6,11,0,0,0,3,0,22,0
2015/10/1,1,9,5,8,9,0,0,0,6,0,18,1
2015/11/1,2,10,11,2,6,0,0,0,3,0,19,0
2015/12/1,5,11,6,9,11,0,0,0,4,0,21,0
2016/1/1,0,13,5,6,13,0,0,0,6,0,29,0
2016/2/1,4,4,7,5,5,0,0,0,0,0,18,2
2016/3/1,1,9,8,12,8,0,0,0,3,0,21,6
2016/4/1,1,7,9,8,13,0,0,0,4,0,18,2
2016/5/1,0,12,7,5,17,0,0,0,0,0,23,4
2016/6/1,4,10,11,7,15,0,0,0,2,0,20,4
2016/7/1,3,17,9,3,7,0,0,0,0,0,20,0
2016/8/1,1,10,5,7,12,0,0,0,3,0,21,0
2016/9/1,5,100,9,4,8,0,0,0,3,0,17,0
2016/10/1,2,23,8,7,8,0,0,0,3,0,20,2
2016/11/1,3,17,9,9,8,0,0,0,3,0,23,10
2016/12/1,0,23,5,8,12,0,0,0,4,0,13,7
2017/1/1,1,19,7,4,8,0,0,0,3,0,21,4
2017/2/1,4,18,13,7,9,0,0,0,4,0,13,1
2017/3/1,2,27,6,15,13,0,0,0,1,0,16,0
2017/4/1,0,14,5,10,12,0,0,0,1,0,22,2
2017/5/1,2,18,6,13,13,0,0,0,3,0,18,0
2017/6/1,3,19,4,12,12,0,0,0,2,0,20,0
2017/7/1,0,18,7,8,11,0,0,0,3,0,28,0
2017/8/1,2,11,7,9,9,0,0,0,2,0,23,0
2017/9/1,0,20,6,6,9,0,0,0,2,0,21,2
2017/10/1,0,28,7,9,18,0,0,0,3,0,22,0
2017/11/1,3,19,6,5,7,0,0,0,2,0,21,0
2017/12/1,1,11,6,6,14,0,0,0,2,0,15,1
2018/1/1,2,16,5,9,12,0,0,0,4,0,16,0
2018/2/1,4,17,5,5,4,0,0,0,0,0,18,0
2018/3/1,2,14,4,3,14,0,0,0,5,0,21,1
2018/4/1,5,21,6,6,11,0,0,0,0,0,20,0
2018/5/1,2,18,6,4,13,0,0,0,4,0,19,2
2018/6/1,2,40,10,6,15,0,0,0,4,0,19,0
2018/7/1,2,46,7,5,6,0,0,0,2,0,23,0
2018/8/1,3,25,7,2,9,0,0,0,2,0,18,0
2018/9/1,7,82,3,5,8,0,0,0,5,0,20,0
2018/10/1,7,42,7,5,11,0,0,0,8,0,22,0
2018/11/1,8,57,5,3,9,0,0,0,5,0,37,0
2018/12/1,14,68,5,3,12,0,0,0,5,0,17,0
2019/1/1,11,42,6,3,11,0,0,0,5,0,23,3
2019/2/1,5,26,2,2,8,0,0,0,8,0,15,0
2019/3/1,7,58,4,5,13,0,0,0,6,0,32,0
2019/4/1,8,76,4,4,13,0,0,0,10,0,31,0
2019/5/1,12,56,5,8,14,0,0,0,6,0,31,0
2019/6/1,9,73,5,6,15,0,0,0,9,0,32,0
2019/7/1,13,60,6,3,16,0,0,0,3,0,29,2
2019/8/1,9,45,5,6,18,0,0,0,4,0,25,0
2019/9/1,7,47,1,3,15,0,0,0,5,0,26,2
2019/10/1,11,50,3,8,15,0,0,0,1,0,23,0
2019/11/1,9,52,7,5,15,0,0,0,6,0,21,0
2019/12/1,7,68,4,7,14,0,0,0,4,0,86,0
2020/1/1,34,69,3,2,19,0,0,0,6,0,69,0
2020/2/1,38,64,5,5,21,0,0,0,2,0,28,0
2020/3/1,44,72,6,4,24,0,0,0,7,0,28,1
2020/4/1,33,56,5,5,27,0,0,0,2,0,46,1
2020/5/1,19,46,2,2,18,0,0,0,6,0,22,1
2020/6/1,12,35,5,3,20,0,0,0,3,0,23,0
2020/7/1,8,24,2,0,13,0,0,0,3,0,22,1
2020/8/1,8,26,0,2,20,0,0,0,3,0,25,0
2020/9/1,14,33,2,7,18,0,0,0,5,0,21,3
2020/10/1,8,35,1,4,19,0,0,0,3,0,14,2
2020/11/1,10,50,2,5,22,0,0,0,5,0,24,3
2020/12/1,14,45,3,3,20,0,0,0,8,0,15,0
2021/1/1,17,25,2,0,15,0,0,0,3,0,16,1
2021/2/1,9,24,7,2,11,0,0,0,4,0,20,4
2021/3/1,10,36,2,2,17,0,0,0,4,0,15,0
2021/4/1,12,33,3,2,15,0,0,0,4,0,22,2
2021/5/1,72,54,8,7,37,0,0,0,4,0,32,1
2021/6/1,44,56,9,4,30,0,0,0,5,0,53,0
2021/7/1,26,33,6,3,20,0,0,0,3,0,30,0
2021/8/1,13,24,2,0,20,0,0,0,3,0,32,0
2021/9/1,13,29,2,2,15,0,0,0,3,0,15,0
2021/10/1,9,33,3,3,16,0,0,0,4,0,22,5
2021/11/1,13,26,0,3,18,0,0,0,9,0,18,0
2021/12/1,9,33,3,3,20,0,0,0,1,0,64,1
